Código,Producto,P. Costo,P. Venta,P. Mayoreo,Existencia,Inv. Mínimo,Inv. Máximo,Departamento
795,CLAVIJA 1/2 VUELTA TA 3P 3H 15A ROYER WD0563 ED,$57.93,$85.00,$82.00,3,1,3,ELECTRICIDAD
330,CLAVIJA ADAPTADOR 3 PUERTOS IUSA EDISON 330,$17.55,$23.00,$20.00,5,2,5,ELECTRICIDAD
7.50E+12,CLAVIJA ADAPTADOR NARANJA ADIR EDISON,$3.19,$5.00,$4.50,0,2,3,ELECTRICIDAD
7.50E+12,CLAVIJA ADAPTADOR NARANJA MITZU ED 08-1050,$3.87,$8.00,$6.00,10,5,10,ELECTRICIDAD
7.51E+12,CLAVIJA AKSI USO RUDO S/TIERRA FISICA ANG,$9.90,$15.00,$14.00,2,2,4,ELECTRICIDAD
7.51E+12,CLAVIJA BLINDADA 15A KLEIMAN EDISON 027,$8.66,$13.00,$0.00,7,10,10,ELECTRICIDAD
7.50E+12,CLAVIJA BLINDADA VOLTECK S/TIERRA FISICA ANG,$11.00,$16.00,$15.00,4,2,4,ELECTRICIDAD
812,CLAVIJA LEVINTON REFORZADA 2A,$20.00,$50.00,$45.00,12,4,12,ELECTRICIDAD
810,CLAVIJA METALICA INDUSTRIAL 15A ROYER 551 ED,$35.20,$50.00,$45.00,4,2,10,ELECTRICIDAD
32664340901,CLAVIJA NYLON 15A EATON EDISON,$49.03,$65.00,$0.00,4,10,10,ELECTRICIDAD
191,CLAVIJA OVALADA DE HULE NACIONAL EDISON,$4.30,$8.00,$6.00,6,10,10,ELECTRICIDAD
7.50E+12,CLAVIJA OVALADA DE HULE ROYER EDISON,$14.30,$20.00,$18.00,7,10,10,ELECTRICIDAD
7.50E+12,CLAVIJA VOLTECK REFORZADA A TIERRA ANG,$13.00,$19.00,$18.00,5,2,5,ELECTRICIDAD
7.50E+12,CLAVIJA VOLTECK REFORZADA S/TIERRA FISICA ANG,$11.00,$16.00,$15.00,4,2,4,ELECTRICIDAD
9.00E+12,CLAVO C/CABEZA 1-1/2 CN 310010026,$46.47,$65.00,$60.00,4.69,2,3,TORNILLOS
9.00E+12,CLAVO C/CABEZA 2 CN 310010028,$34.63,$55.00,$52.00,4,200,300,TORNILLOS
9.00E+12,CLAVO C/CABEZA 2-1/2 CN 310010030,$34.64,$55.00,$52.00,2,3,5,TORNILLOS
9.00E+12,CLAVO C/CABEZA 3 CN 310010032,$46.53,$65.00,$60.00,5,2,3,TORNILLOS
7.51E+12,CLAVO P/CONCRETO 1 1/2 PULG 1KG ADIR CALIBRE 8 H79,$55.83,$100.00,$95.00,3,1,5,TORNILLOS
7.51E+12,CLAVO P/CONCRETO 2 1/2 PULG 1KG ADIR CALIBRE 8 H79,$55.83,$100.00,$95.00,2.5,2,5,TORNILLOS
7.51E+12,CLAVO P/CONCRETO 2 PULG 1KG ADIR CALIBRE 8 H79,$55.83,$100.00,$95.00,3,2,5,TORNILLOS
9.00E+12,CLAVO P/CONCRETO 3 CN 310055025,$46.54,$65.00,$60.00,0.97,2,3,TORNILLOS
7.51E+12,CLAVO P/CONCRETO 3 PULG 1KG ADIR CALIBRE 8 H79,$55.83,$100.00,$95.00,2.5,2,5,TORNILLOS
9.00E+12,CLAVO P/CONCRETO 3/4 CN,$43.44,$100.00,$95.00,2,1,4,TORNILLOS
9.00E+12,CLAVO P/CONCRETO GALVANZ 3/4 CN,$50.51,$110.00,$105.00,2,1,4,TORNILLOS
961,CLAVO P/MADERA 3PULG C/CABEZA CORONILLA H79,$28.92,$50.00,$45.00,2,4,8,TORNILLOS
962,CLAVO P/MADERA 4PULG C/CABEZA CORONILLA H79,$28.92,$50.00,$45.00,2,4,8,TORNILLOS
7.50E+12,CLAVOS PARA CLAVADORA NEUMATICA CAL.18 CAJA C/5000CLAV TRUPER 18261,$59.00,$85.00,$80.00,1,1,1,TORNILLOS
5.50E+12,CODO 45 COBRE 1/2 FOSET BASIC,$9.00,$13.00,$12.00,20,20,40,PLOMERIA
7.51E+12,CODO 45 COBRE 1/2 FOSET BASIC 47634,$9.00,$14.00,$12.00,20,5,20,PLOMERIA
7.51E+12,CODO 45 COBRE 3/4 FOSET BASIC 47635,$20.00,$28.00,$26.00,20,5,20,PLOMERIA
7.51E+12,CODO 90 COBRE 1/2 FOSET BASIC,$6.00,$9.00,$8.00,20,20,50,PLOMERIA
7.51E+12,CODO 90 COBRE 3/4 FOSET BASIC 47632,$14.00,$20.00,$19.00,20,5,10,PLOMERIA
7.51E+12,CODO 90 COBRE ROSCA INT 1/2 FOSET,$25.00,$33.00,$32.50,10,20,40,PLOMERIA
7.51E+12,CODO 90 INSERCION 1/2 POLIPROPILENO FOSET,$6.00,$10.00,$9.00,20,5,10,PLOMERIA
373,CODO COBRE 1 X 45 NACOBRE PLO,$78.02,$103.00,$102.00,10,5,30,PLOMERIA
374,CODO COBRE 1 X 90 NACOBRE PLO 425,$47.94,$63.00,$62.00,10,5,20,PLOMERIA
370,CODO COBRE 1/2 X 45 NACOBRE PLO 420,$17.89,$24.00,$23.00,38,5,40,PLOMERIA
371,CODO COBRE 1/2 X 90 NACOBRE PLO 421,$9.59,$13.00,$12.50,36,5,40,PLOMERIA
372,CODO COBRE 3/4 X 45 NACOBRE PLO 422,$28.43,$38.00,$37.00,25,5,40,PLOMERIA
491,CODO COBRE NACOBRE 3/4 X 90 PLO 423,$21.80,$30.00,$29.00,22,5,30,PLOMERIA
353,CODO CPVC 1 X 45 PLOMECSA,$4.42,$6.50,$6.00,10,20,100,PLOMERIA
488,CODO CPVC 1 X 90 PLO 440,$4.71,$7.00,$6.00,10,5,20,PLOMERIA
350,CODO CPVC 1/2 X 45 PLOMECSA,$1.07,$2.00,$1.50,10,20,100,PLOMERIA
351,CODO CPVC 1/2 X 90 PLOMECSA,$1.15,$2.00,$1.50,7,20,100,PLOMERIA
580,CODO CPVC 3/4 X 45 PLO 437,$2.10,$3.50,$3.00,10,5,15,PLOMERIA
352,CODO CPVC 3/4 X 90 PLOMECSA,$2.25,$3.50,$3.00,7,20,100,PLOMERIA
355,CODO CPVC C/OREJA ROSCA INT 1/2 X 90 PLOMECSA,$7.10,$10.00,$9.50,10,20,100,PLOMERIA
356,CODO CPVC I/BRONCE 1/2 X 90 PLOMECSA,$22.54,$30.00,$29.00,10,20,100,PLOMERIA
357,CODO CPVC I/BRONCE 3/4 X 90 PLOMECSA,$26.36,$35.00,$34.00,10,20,100,PLOMERIA
358,CODO CPVC REDUCIDO 3/4 A 1/2 PLOMECSA,$2.71,$4.00,$3.50,10,20,50,PLOMERIA
423,CODO GALV 1 X 45 PLO 460,$17.61,$24.00,$23.00,10,4,30,PLOMERIA
424,CODO GALV 1 X 90 PLO 461,$17.84,$24.00,$22.00,8,4,8,PLOMERIA
416,CODO GALV 1/2 X 45 PLO,$8.94,$12.00,$11.00,10,4,10,PLOMERIA
417,CODO GALV 1/2 X 90 PLO 457,$6.92,$10.00,$9.00,15,5,15,PLOMERIA
415,CODO GALV 1/4 X 90 PLO 543,$13.17,$19.00,$17.00,10,4,10,PLOMERIA
421,CODO GALV 3/4 X 45 PLO 458,$13.03,$19.00,$17.00,10,4,30,PLOMERIA
422,CODO GALV 3/4 X 90 PLO 459,$10.25,$14.00,$13.00,10,4,30,PLOMERIA
581,CODO GALV 3/8 X 90 PLO 455,$11.16,$16.00,$14.50,10,5,15,PLOMERIA
7.51E+12,CODO P/ESTUFA 90 LATON 3/8 X 3/8 FOSET 47403,$19.00,$28.00,$25.00,9,5,10,PLOMERIA
7.11E+11,CODO P/LAVABAJILLA 3/8 X 3/4 E3834-WB COFLEX DIPLO,$55.90,$78.00,$75.00,3,1,3,PLOMERIA
656,CODO PLASTICO 1/2 P/POLIDUCTO JOLMAR H79 34068,$1.24,$5.00,$4.00,10,4,10,ELECTRICIDAD
657,CODO PLASTICO 3/4 P/POLIDUCTO JOLMAR H79 34074,$1.67,$6.00,$5.00,10,4,10,ELECTRICIDAD
303,CODO PPR IUSAPLUS 1 X 45 PLOMECSA 616340,$6.53,$10.00,$9.00,13,20,100,PLOMERIA
304,CODO PPR IUSAPLUS 1 X 90 PLOMECSA 616331,$8.06,$12.00,$11.00,24,20,100,PLOMERIA
300,CODO PPR IUSAPLUS 1/2 X 45 PLOMECSA 616338,$2.77,$5.00,$4.00,28,10,40,PLOMERIA
301,CODO PPR IUSAPLUS 1/2 X 90 PLOMECSA 616329,$3.15,$6.00,$5.00,61,10,40,PLOMERIA
302,CODO PPR IUSAPLUS 3/4 X 45 PLOMECSA 616339,$3.80,$7.00,$6.00,15,20,100,PLOMERIA
577,CODO PPR IUSAPLUS 3/4 X 90 PLO 3377,$4.68,$7.00,$6.00,11,5,30,PLOMERIA
305,CODO PPR IUSAPLUS C/OREJA 1/2 X 90 PLOMECSA 616353,$23.49,$32.00,$31.00,10,20,100,PLOMERIA
479,CODO PPR IUSAPLUS C/OREJA 25X20X90 PLO 4543,$27.83,$38.00,$36.00,10,5,20,PLOMERIA
308,CODO PPR IUSAPLUS HEMBRA 1 X 90 PLOMECSA 616349,$49.29,$66.00,$65.00,10,20,100,PLOMERIA
306,CODO PPR IUSAPLUS HEMBRA 1/2 X 90 PLOMECSA 616347,$20.25,$28.00,$27.00,20,20,100,PLOMERIA
307,CODO PPR IUSAPLUS HEMBRA 3/4 X 90 PLOMECSA 616348,$28.14,$38.00,$37.00,15,20,100,PLOMERIA
311,CODO PPR IUSAPLUS MACHO 1 X 90 PLOMECSA 616346,$55.61,$74.00,$73.00,6,20,100,PLOMERIA
309,CODO PPR IUSAPLUS MACHO 1/2 X 90 PLOMECSA 616344,$21.68,$30.00,$29.00,20,20,100,PLOMERIA
310,CODO PPR IUSAPLUS MACHO 3/4 X 90 PLOMECSA 616345,$35.90,$48.00,$47.50,15,20,100,PLOMERIA
512,CODO PVC 1/2 X 45 PLO 492,$1.47,$2.50,$2.00,15,5,30,PLOMERIA
513,CODO PVC 1/2 X 90 C.40 PLO 493,$1.60,$2.50,$2.00,8,5,30,PLOMERIA
525,CODO PVC C.40 1 X 90 PLO 497,$4.21,$6.00,$5.50,15,5,20,PLOMERIA
519,CODO PVC C.40 1-1/2 X 45 PLO 500,$7.99,$11.00,$10.50,14,5,15,PLOMERIA
520,CODO PVC C.40 1-1/2 X 90 PLO 501,$10.10,$14.00,$13.00,13,5,15,PLOMERIA
518,CODO PVC C.40 1-1/4 X 90 PLO 499,$7.50,$10.50,$10.00,15,5,15,PLOMERIA
521,CODO PVC C.40 2 X 45 PLO 502,$11.18,$15.00,$14.50,15,5,15,PLOMERIA
522,CODO PVC C.40 2 X 90 PLO 503,$14.67,$20.00,$19.00,15,5,15,PLOMERIA
514,CODO PVC C.40 3/4 X 45 PLO 494,$2.19,$3.50,$3.00,14,5,30,PLOMERIA
515,CODO PVC C.40 3/4 X 90 PLO 495,$2.55,$3.50,$3.00,8,5,20,PLOMERIA
523,CODO PVC C.40 ROSCA/INT 1/2 X 90 PLO 504,$2.92,$4.00,$3.50,15,5,20,PLOMERIA
COHI2545,CODO PVC HIDRAULICO C-40 25MM 1  X 45 GRA PLO,$3.53,$8.00,$7.50,25,5,10,PLOMERIA
COHI3245,CODO PVC HIDRAULICO C-40 32MM 1 1/4 X 45 GRA PLO,$5.86,$12.00,$11.00,11,5,15,PLOMERIA
193,CODO PVC PESADO 1/2 ARGOS,$3.49,$6.00,$5.00,15,10,10,ELECTRICIDAD
194,CODO PVC PESADO 3/4 ARGOS,$4.26,$7.00,$8.00,13,10,10,ELECTRICIDAD
CO45CH,CODO PVC SANITARIO 45 GRADOS 1 1/2 PULG 40MM DIPLO,$2.60,$6.00,$5.00,5,3,10,PLOMERIA
CO452,CODO PVC SANITARIO 45 GRADOS 2 PULG 50MM DIPLO,$3.40,$9.00,$8.00,4,5,10,PLOMERIA
CO453,CODO PVC SANITARIO 45 GRADOS 3 PULG 75MM DIPLO,$6.20,$15.00,$14.00,12,6,15,PLOMERIA
CO454,CODO PVC SANITARIO 45 GRADOS 4 PULG 100MM DIPLO,$12.90,$30.00,$28.00,8,3,15,PLOMERIA
CO904TL,CODO PVC SANITARIO 90 GRA 4 PUL 100MM SALID TRAS LAT 50 DIPLO,$41.50,$76.00,$72.00,5,2,3,PLOMERIA
CO904T,CODO PVC SANITARIO 90 GRA 4 PULG 100MM SALIDA TRAS 50 DIPLO,$19.50,$38.00,$36.00,3,3,6,PLOMERIA
CO90CH,CODO PVC SANITARIO 90 GRADOS 1 1/2 PULG 40MM DIPLO,$3.00,$8.00,$7.00,6,3,10,PLOMERIA
CO904,CODO PVC SANITARIO 90 GRADOS 4 PULG 100MM DIPLO,$19.90,$38.00,$36.00,7,6,10,PLOMERIA
630,CODO PVC SANITARIO REF 2 SALIDAS LATERAL 2PULG 4 X 90 PLO 507,$23.10,$40.00,$35.00,3,2,3,PLOMERIA
632,CODO PVC SANITARIO REFOR 2 SALIDA LAT Y TRA 4 X 90 PLO 508,$23.07,$40.00,$35.00,3,2,3,PLOMERIA
628,CODO PVC SANITARIO REFOR N-100 4 X 90 PLO 510,$17.83,$35.00,$30.00,0,2,6,PLOMERIA
COPLECH,CODO PVC SANITARIO REFORZ 1 1/2PULG 40MM  DIPLO,$2.00,$6.00,$5.50,6,3,10,PLOMERIA
COPLE2,CODO PVC SANITARIO REFORZ 2PULG 50MM  DIPLO,$2.00,$6.00,$5.50,5,4,10,PLOMERIA
COSA902,CODO SANITARIO PVC  90 50MM  2 PULG CRESPO DIPLO,$4.50,$9.00,$8.50,15,5,20,PLOMERIA
COSA903,CODO SANITARIO PVC  90 75MM  3 PULG CRESPO DIPLO,$8.80,$16.00,$15.00,15,5,20,PLOMERIA
817,COLA DE PATO CHOLU,$0.35,$1.00,$0.50,90,10,100,TORNILLOS
978,COLA DE PATO NUM 2 1PZ,$1.20,$3.00,$2.50,100,10,100,TORNILLOS
7.11E+11,COLADERA COFLEX REDONDA ABS C/REJILLA A. INOX PLO,$106.69,$150.00,$145.00,2,1,5,PLOMERIA
7.51E+12,COLADERA DE ABS SALIDA LATERAL Y REJILLA 5PULG 1/4 DE VUELTA FOSET 49618,$69.00,$93.00,$90.00,4,2,4,PLOMERIA
7.51E+12,COLADERA DE ABS SALIDA LATERAL Y REJILLA 5PULG CON TORNILLOS FOSET 46024,$69.00,$90.00,$85.00,4,2,4,PLOMERIA
768,COLADERA DE ALUMINIO 15 X 15 CN 073040705,$66.78,$95.00,$90.00,2,1,2,PLOMERIA
767,COLADERA DE FIERRO COLADO 20X20 CN 073040720,$93.87,$140.00,$130.00,2,1,2,PLOMERIA
9.00E+11,COLADERA DE FIERRO FUNDIDO 15X15 CN 073040715,$69.63,$100.00,$95.00,2,1,2,PLOMERIA
650,COLADERA PLASMEX UNIVERSAL REDONDA C/REJI CROMADA PLO 553,$15.59,$25.00,$20.00,5,2,5,PLOMERIA
8.50E+12,COLADERA REDONDA CAMPANA PVC R/CROMADA FAMA GRI 9668,$51.00,$68.00,$66.00,3,1,3,PLOMERIA
7.11E+11,COLADERA UNIVERSAL PLASTIC CROMADA COFLEX GRI PC-101,$44.00,$58.00,$57.00,3,1,3,PLOMERIA
7.51E+12,COLADERA UNIVERSAL PUSH C/CHECK ANTIOLOR FLEXIMATIC GRI 2249,$254.00,$335.00,$330.00,3,1,3,PLOMERIA
7.51E+12,COLADERA UNIVERSAL REJILLA D/ACERO INOXI C/VALVULA ANTIOLRES FLEXIMATIC 2259,$52.00,$72.00,$68.00,7,2,4,PLOMERIA
7.24E+11,COLADOR DE PAPEL PARA PINTURA GRANDE CHOLU,$1.59,$4.00,$3.33,49,10,50,PINTURAS
7.43E+11,COLADOR P/PINTURA P/PISTOLA H79 4980,$35.48,$55.00,$50.00,3,1,3,PINTURAS
7.50E+12,COLORANTE MARIPOSA AZUL MARINO CYL,$14.60,$19.00,$18.00,2,2,3,PINTURAS
7.50E+12,COLORANTE MARIPOSA CRISTALES NEGRO CYL,$14.60,$19.00,$18.00,3,2,3,PINTURAS
7.50E+12,COLORANTE MARIPOSA CRISTALES ROJO ESCARLATA CYL,$14.60,$19.00,$18.00,3,2,3,PINTURAS
7.50E+12,COLORANTE MARIPOSA PASTILLA AMARILLO CYL,$13.58,$18.00,$17.00,3,2,3,PINTURAS
7.50E+12,COLORANTE MARIPOSA PASTILLA AZUL MARINO CYL,$13.58,$18.00,$17.00,3,2,3,PINTURAS
7.50E+12,COLORANTE MARIPOSA PASTILLA NEGRO CYL,$13.58,$18.00,$17.00,3,2,3,PINTURAS
7.50E+12,COLORANTE MARIPOSA PASTILLA ROJO ESCARLATA CYL,$13.58,$18.00,$17.00,3,2,3,PINTURAS
993,CONDULET 0T 1/2 EDISON,$33.50,$48.00,$45.00,8,5,12,ELECTRICIDAD
998,CONDULET FS 1/2 EDISON,$67.92,$98.00,$95.00,3,1,3,ELECTRICIDAD
20,CONDULET OC 1/2 NEW COND EDISON,$31.35,$44.00,$42.00,11,5,10,ELECTRICIDAD
258,CONDULET OLL 1/2 NEW COND EDISON,$31.35,$42.00,$40.00,9,2,5,ELECTRICIDAD
257,CONDULET OLL 3/4 NEW COND EDISON,$41.80,$58.00,$55.00,5,2,5,ELECTRICIDAD
997,CONDULET OT 1 PULG EDISON,$70.02,$98.00,$95.00,5,3,6,ELECTRICIDAD
992,CONDULET OT 3/4 ARGOS EDISON,$43.95,$65.00,$62.00,11,4,12,ELECTRICIDAD
7.50E+12,CONECTOR 3/4 ABS MANGUERA-ACC S/CLICK TRUPER 12722,$25.00,$33.00,$30.00,6,2,6,HERRAMIENTAS
7.50E+12,CONECTOR 3/4 GRIFO-MANGUERA S/CLICK ABS TRUPER 12724,$22.00,$30.00,$28.00,6,2,6,ELECTRICIDAD
7.50E+12,CONECTOR COAXIAL RG 6 ROSCABLE 4 PIEZAS VOLTECK,$5.00,$7.00,$6.00,20,4,20,ELECTRICIDAD
7.51E+12,CONECTOR COBRE ROSCA EXT 1/2 FOSET,$14.00,$19.00,$18.50,33,20,40,PLOMERIA
195,CONECTOR CONDUIT P/D 1 1/4 ARGOS,$19.01,$26.00,$24.00,10,10,10,ELECTRICIDAD
196,CONECTOR CONDUIT P/D 1/2 ARGOS EDISON 196,$4.84,$10.00,$0.00,30,10,15,ELECTRICIDAD
197,CONECTOR CONDUIT P/D 1/2 SAMAC EDISON 197,$3.91,$7.00,$6.00,18,10,20,ELECTRICIDAD
198,CONECTOR CONDUIT P/D 3/4 ARGOS EDISON 198,$6.18,$13.00,$0.00,32,10,15,ELECTRICIDAD
199,CONECTOR CONDUIT P/D 3/4 SAMAC,$4.80,$7.50,$0.00,2,10,10,ELECTRICIDAD
200,CONECTOR CURVO FLEXIBLE 1/2 ANCLO EDISON 200,$10.68,$18.00,$0.00,10,5,10,ELECTRICIDAD
201,CONECTOR CURVO FLEXIBLE 3/4 ANCLO EDISON 201,$14.18,$25.00,$0.00,10,5,10,ELECTRICIDAD
202,CONECTOR CURVO LICUATITE 1/2 ANCLO,$19.05,$32.00,$0.00,8,5,10,ELECTRICIDAD
203,CONECTOR CURVO LICUATITE 3/4 ANCLO,$26.83,$45.00,$0.00,5,5,10,ELECTRICIDAD
7.50E+12,CONECTOR D/ LATON HEMBRA CUERDA 1/4 TRUPER,$22.00,$30.00,$28.00,5,4,6,COMPRESORES Y ACCESORIOS PARA AIRE
7.51E+12,CONECTOR DE COBRE DE ROSCA EXTERIOR 1/2 FOSET BASIC 47625,$12.00,$25.00,$22.00,20,10,20,PLOMERIA
7.51E+12,CONECTOR DE COBRE DE ROSCA INTERIOR 1 FOSET BASIC 47630,$39.00,$60.00,$56.00,10,2,10,PLOMERIA
7.51E+12,CONECTOR DE COBRE DE ROSCA INTERIOR DE 3/4 FOSET BASIC 47629,$19.00,$30.00,$28.00,10,2,10,ELECTRICIDAD
F2830,CONECTOR DE LATON P/LLAVE DE NARIZ 13MM F2830,$10.70,$15.00,$13.00,10,2,10,PLOMERIA
211,CONECTOR DE USO RUDO 1/2 ARGOS,$5.94,$10.00,$9.00,17,15,15,ELECTRICIDAD
7.11E+11,CONECTOR FLEX ACERO GAS 3/8 X 3/8 3MT COFLEX AG-B300,$189.00,$260.00,$255.00,4,2,4,PLOMERIA
7.11E+11,CONECTOR FLEXI ACERO GAS 3/8 X 3/8 1.5M COFLEX AG-B150,$115.00,$158.00,$155.00,4,2,4,PLOMERIA
7.50E+12,CONECTOR FLEXI VINILO GAS 3/8 X 3/8 2MT COFLEX VG-B200,$129.00,$173.00,$170.00,2,2,4,PLOMERIA
7.50E+12,CONECTOR FLEXI VINILO GAS 3/8 X 3/8 3M COFLEX VG-B300,$175.00,$233.00,$230.00,1,2,4,PLOMERIA
7.11E+11,CONECTOR FLEXIBLE VINILO 40CM 1/2 X 1/2 COFLEX CVLB-A40,$42.00,$58.00,$55.00,12,1,4,PLOMERIA
7.11E+11,CONECTOR FLEXIBLE VINILO 55CM 1/2 X 1/2 COFLEX CVLB-A40,$49.00,$68.00,$65.00,11,2,4,PLOMERIA
7.11E+11,CONECTOR FLEXIBLE VINILO DE 35CM 1/2 X 7/8 COFLEX CVSB-A35,$48.00,$68.00,$65.00,13,2,3,PLOMERIA
7.11E+11,CONECTOR FLEXIBLE VINILO DE 50CM 1/2 X 7/8 COFLEX CVSB-A50,$54.00,$75.00,$72.00,8,1,3,PLOMERIA
7.50E+12,CONECTOR FLEXIBLE VINILO GAS 3/8 X 3/8 1M COFLEX VG-B100,$91.00,$122.00,$120.00,2,2,4,PLOMERIA
991,CONECTOR GLANDULA 1/2 NYLON ADIR EDISON,$8.30,$14.00,$13.00,6,2,6,ELECTRICIDAD
7.51E+12,CONECTOR LLARE SOLDABLE LATON 3/8 X 1/2 FOSET,$14.00,$19.00,$18.50,10,5,20,PLOMERIA
7.51E+12,CONECTOR MACHO DE CPVC 1-1/4 FOSET  48953,$9.00,$13.50,$12.00,4,2,4,PLOMERIA
7.50E+12,CONECTOR MACHO LATON CUERDA 1/4 TRUPER,$22.00,$29.00,$28.00,6,1,6,COMPRESORES Y ACCESORIOS PARA AIRE
377,CONECTOR NACOBRE ROSCA EXTERIOR 1 PLO 5489,$75.09,$100.00,$98.00,2,5,20,PLOMERIA
375,CONECTOR NACOBRE ROSCA EXTERIOR 1/2 PLO 5487,$15.03,$20.00,$19.50,20,5,20,PLOMERIA
376,CONECTOR NACOBRE ROSCA EXTERIOR 3/4 PLO 5488,$29.05,$39.00,$38.00,12,5,20,PLOMERIA
379,CONECTOR NACOBRE ROSCA INTERIOR 1 PLO,$75.50,$99.00,$98.00,5,5,20,PLOMERIA
378,CONECTOR NACOBRE ROSCA INTERIOR 1/2 PLO 5484,$21.91,$30.00,$29.00,17,5,30,PLOMERIA
492,CONECTOR NACOBRE ROSCA INTERIOR 3/4 PLO 5485,$33.08,$44.00,$43.00,13,5,20,PLOMERIA
7.11E+11,CONECTOR P/GAS ACERO FLEX 3/8x3/8 60CM COFLEX AG-B60,$82.00,$112.00,$110.00,5,2,5,PLOMERIA
706,CONECTOR PARA GABINETE T8 CON GRAPAS CHOLU,$3.20,$6.00,$5.00,19,2,20,ELECTRICIDAD
480,CONECTOR PPR IUSAPLUS HEMBRA 1/2 PLO 3391,$17.29,$24.00,$23.00,29,5,50,PLOMERIA
312,CONECTOR PPR IUSAPLUS HEMBRA 25 X 3/4 PLOMECSA 616373,$29.42,$40.00,$39.00,16,20,100,PLOMERIA
313,CONECTOR PPR IUSAPLUS HEMBRA 32 X 1 PLOMECSA 616374,$41.13,$55.00,$54.00,11,20,100,PLOMERIA
575,CONECTOR PPR IUSAPLUS MACHO 1/2 PLO 3388,$22.04,$30.00,$29.00,21,5,30,PLOMERIA
314,CONECTOR PPR IUSAPLUS MACHO 25 X 3/4 PLOMECSA 616379,$33.25,$45.00,$44.00,17,20,100,PLOMERIA
315,CONECTOR PPR IUSAPLUS MACHO 32 X 1 PLOMECSA 616380,$49.75,$66.00,$65.00,11,20,100,PLOMERIA
204,CONECTOR PVC PESADO 1/2 ARGOS,$2.14,$4.00,$3.00,19,15,15,ELECTRICIDAD
205,CONECTOR PVC PESADO 3/4 ARGOS,$2.68,$6.00,$5.00,18,15,15,ELECTRICIDAD
209,CONECTOR RECTO FLEXIBLE 1 1/4 ARGOS EDISION 209,$23.09,$33.00,$30.00,22,25,25,ELECTRICIDAD
206,CONECTOR RECTO FLEXIBLE 1/2 ARGOS,$6.81,$12.00,$0.00,20,10,15,ELECTRICIDAD
207,CONECTOR RECTO FLEXIBLE 3/4 ARGOS ED,$8.00,$15.00,$14.00,16,10,15,ELECTRICIDAD
208,CONECTOR RECTO LICUATITE 1/2 ANCLO EDISON 208,$11.79,$16.00,$15.50,9,5,10,ELECTRICIDAD
7.50E+12,CONECTOR RECTO LICUATITE 1/2 VOLTECH 46930,$11.79,$16.00,$15.00,1,1,1,ELECTRICIDAD
210,CONECTOR RECTOR LICUATITE 3/4 ANCLO EDISON 210,$23.30,$31.00,$30.50,10,5,10,ELECTRICIDAD
735,CONECTOR ROSCA INTERIOR 19MM  3/4 PLO,$33.08,$45.00,$43.00,10,5,10,PLOMERIA
734,CONECTOR ROSCA INTERIOR 19MM 3/4 PLO,$17.38,$25.00,$24.00,10,5,10,PLOMERIA
212,CONECTOR VARILLA COPPERWELD,$5.60,$10.00,$9.00,14,10,20,ELECTRICIDAD
229,CONECTOR VARILLA TIERRA FISICA DE BRONCE,$20.00,$28.00,$25.00,39,20,20,ELECTRICIDAD
7.50E+12,CONECTOR Y PLÁSTICO ENTRADA 3/4 PRETUL,$23.00,$30.00,$28.00,11,4,12,PLOMERIA
13,CONEXION CAMPANA NIPLE 3/8 X 1/2 IUSA 311981 CYL 1313105,$19.52,$28.00,$26.00,2,2,5,PLOMERIA
14,CONEXION CAMPANA NIPLE 3/8 X 1/4 IUSA 311979 CYL 1313103,$11.31,$16.00,$15.00,5,2,6,PLOMERIA
1313104,CONEXION CAMPANA NIPLE 3/8 X 3/8 IUSA 311980 CYL 1313104,$14.94,$20.00,$19.00,5,2,5,PLOMERIA
1313108,CONEXION CODO P/ESTUFA 3/8 X 3/8 IUSA 312014 CYL 1313108,$20.01,$27.00,$26.00,5,2,5,PLOMERIA
684,CONEXION DE MANGUERA SENCILLA 3/4 CYL 1313159,$20.84,$35.00,$30.00,3,1,3,PLOMERIA
1313118,CONEXION NIPLE TERM 3/8 X 1/2 IUSA 311993 CYL 1313118,$19.67,$27.00,$26.00,6,2,6,PLOMERIA
1313116,CONEXION NIPLE TERM 3/8 X 1/4 IUSA 311991 CYL 1313116,$10.89,$16.00,$15.00,5,2,5,PLOMERIA
1313117,CONEXION NIPLE TERM 3/8 X 3/8 IUSA CYL 1313117,$12.15,$17.00,$16.00,5,2,5,PLOMERIA
7.50E+12,CONEXION P/MANGUERA 1/2 HEMBRA DE PLAST CYL 1313428,$10.65,$14.00,$13.00,3,2,5,MANGUERAS
12,CONEXION TEE TERM TTC 3/8 IUSA 312056 CYL 1313136,$23.67,$33.00,$31.00,5,2,5,PLOMERIA
1313145,CONEXION TUERCA CONICA 3/8 IUSA 301050 CYL 1313145,$7.95,$13.00,$11.00,6,2,6,PLOMERIA
EH,CONICA HUECA 3 EH,$4.70,$14.00,$12.00,9,2,10,PLOMERIA
7.51E+12,CONO DE PRECAUCIÓN DE 45CM DE PVC TRUPER 13120,$145.00,$190.00,$185.00,1,2,3,SEGURIDAD E HIGIENE
794,CONTACTO 1/2 VUELTA 2P 2H 15A ROYER WD0162 ED,$44.18,$65.00,$63.00,3,1,3,ELECTRICIDAD
796,CONTACTO 1/2 VUELTA 3P 3H 15A ROYER WD0163 ED,$52.22,$75.00,$72.00,3,1,3,ELECTRICIDAD
